customer_id,first_name,last_name,email,city,region,signup_date,loyalty_tier,acquisition_channel
C002309,Avery,Kim,avery.kim2309@example.com,Charlotte,South,2022-09-28,Silver,Referral
C022405,Taylor,Brooks,taylor.brooks22405@example.com,Los Angeles,West,2021-05-16,Silver,Paid Search
C023398,Sam,Adams,sam.adams23398@example.com,Philadelphia,Northeast,2025-05-16,,Retail Store
C025059,Quinn,Adams,quinn.adams25059@example.com,Austin,South,2023-09-21,Silver,Referral
C002665,Kai,Johnson,kai.johnson2665@example.com,Philadelphia,Northeast,2021-11-27,Gold,Paid Search
C008512,Taylor,Turner,taylor.turner8512@example.com,Atlanta,South,2025-04-22,Silver,Referral
C005149,Morgan,Chen,morgan.chen5149@example.com,Charlotte,South,2025-08-01,,Social
C007791,Taylor,Johnson,taylor.johnson7791@example.com,,Midwest,2022-02-03,,Social
C011312,Quinn,Rivera,quinn.rivera11312@example.com,Boston,Northeast,2022-09-03,Platinum,Referral
C019044,Morgan,Johnson,morgan.johnson19044@example.com,Indianapolis,Midwest,2022-04-18,Silver,Social
C010785,Taylor,Davis,taylor.davis10785@example.com,Detroit,Midwest,2023-11-09,Silver,Paid Search
C022247,Jordan,Davis,jordan.davis22247@example.com,Minneapolis,Midwest,2022-03-18,,Social
C003269,Quinn,Garcia,quinn.garcia3269@example.com,Indianapolis,Midwest,2021-07-28,,Organic
C015948,Sam,Lee,sam.lee15948@example.com,Providence,Northeast,2023-01-07,,Paid Search
C014978,Riley,Kim,riley.kim14978@example.com,Indianapolis,Midwest,2022-01-22,,Organic
C014475,Sam,Lee,sam.lee14475@example.com,Atlanta,South,2025-02-15,Gold,Retail Store
C028695,Parker,Chen,parker.chen28695@example.com,Detroit,Midwest,2021-09-04,Platinum,Retail Store
C014055,Casey,Patel,casey.patel14055@example.com,Minneapolis,Midwest,2021-10-23,Silver,Social
C026546,Cameron,Smith,cameron.smith26546@example.com,Providence,Northeast,2021-07-28,Gold,Organic
C014981,Casey,Brooks,casey.brooks14981@example.com,Providence,Northeast,2024-05-22,Silver,Paid Search
C017637,Parker,Lee,parker.lee17637@example.com,Seattle,West,2022-05-04,,Organic
C003932,Taylor,Rivera,taylor.rivera3932@example.com,Minneapolis,Midwest,2025-09-30,,Paid Search
C008388,Avery,Martinez,avery.martinez8388@example.com,Austin,South,2023-02-14,,Organic
C008029,Jordan,Adams,jordan.adams8029@example.com,Pittsburgh,Northeast,2024-11-16,Silver,Paid Search
C009483,Parker,Hughes,parker.hughes9483@example.com,Detroit,Midwest,2021-05-29,Gold,Social
C022573,Jordan,Martinez,jordan.martinez22573@example.com,Indianapolis,Midwest,2023-01-11,,Retail Store
C015108,Casey,Adams,casey.adams15108@example.com,Dallas,South,2021-07-02,,Paid Search
C003674,Taylor,Rivera,taylor.rivera3674@example.com,Portland,West,2022-07-16,Silver,Referral
C021389,Parker,Adams,parker.adams21389@example.com,Los Angeles,West,2024-04-15,,Organic
C005938,Emerson,Turner,emerson.turner5938@example.com,Pittsburgh,Northeast,2022-02-14,SILVER,Paid Search
C027034,Casey,Brooks,casey.brooks27034@example.com,Austin,South,2025-10-24,,Referral
C029272,Jordan,Rivera,jordan.rivera29272@example.com,Boston,Northeast,2025-09-12,Silver,Social
